127.0.0.1, 2018-02-16 00:05:33, POST, /admin/default/index, HTTP/1.1, 303, 0.008951
127.0.0.1, 2018-02-16 00:05:33, GET, /admin/default/site, HTTP/1.1, 200, 0.059708
127.0.0.1, 2018-02-16 00:05:33, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000418
127.0.0.1, 2018-02-16 00:05:33, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.000415
127.0.0.1, 2018-02-16 00:05:34, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000421
127.0.0.1, 2018-02-16 00:05:35, POST, /admin/default/check_version, HTTP/1.1, 200, 1.681825
127.0.0.1, 2018-02-16 00:06:17, GET, /admin/default/site, HTTP/1.1, 200, 0.020509
127.0.0.1, 2018-02-16 00:07:15, GET, /example/default/index, HTTP/1.1, 404, 0.000307
127.0.0.1, 2018-02-16 00:07:32, GET, /examples/default/index, HTTP/1.1, 200, 0.057794
127.0.0.1, 2018-02-16 00:07:35, GET, /examples/default/index, HTTP/1.1, 200, 0.004860
127.0.0.1, 2018-02-16 00:07:37, GET, /admin/default/site, HTTP/1.1, 200, 0.019007
127.0.0.1, 2018-02-16 00:07:38, GET, /admin/default/index, HTTP/1.1, 303, 0.001949
127.0.0.1, 2018-02-16 00:07:38, GET, /admin/default/site, HTTP/1.1, 200, 0.021208
127.0.0.1, 2018-02-16 00:07:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.040363
127.0.0.1, 2018-02-16 00:12:51, GET, /admin/default/site, HTTP/1.1, 200, 0.022322
127.0.0.1, 2018-02-16 00:12:59, POST, /admin/default/site, HTTP/1.1, 303, 0.239292
127.0.0.1, 2018-02-16 00:12:59, GET, /admin/default/design/IMEI, HTTP/1.1, 200, 0.137225
127.0.0.1, 2018-02-16 00:12:59, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.000345
127.0.0.1, 2018-02-16 00:12:59, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.000484
127.0.0.1, 2018-02-16 00:12:59, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.000464
127.0.0.1, 2018-02-16 00:12:59, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2018-02-16 00:19:02, GET, /IMEI/groundcontrol/uday, HTTP/1.1, 200, 0.805576
127.0.0.1, 2018-02-16 00:28:39, GET, /IMEI/groundcontrol/actionMan, HTTP/1.1, 200, 0.010419
127.0.0.1, 2018-02-16 00:29:01, GET, /IMEI/groundcontrol/actionMan, HTTP/1.1, 404, 0.009063
127.0.0.1, 2018-02-16 00:29:24, GET, /IMEI/groundcontrol/actionMan, HTTP/1.1, 404, 0.009220
127.0.0.1, 2018-02-16 00:29:29, GET, /IMEI/groundcontrol/uday, HTTP/1.1, 200, 0.011171
127.0.0.1, 2018-02-16 14:51:45, GET, /, HTTP/1.1, 303, 0.012048
127.0.0.1, 2018-02-16 14:51:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.877823
127.0.0.1, 2018-02-16 14:52:10, GET, /welcome/default/uday, HTTP/1.1, 404, 0.097532
127.0.0.1, 2018-02-16 14:52:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000412
127.0.0.1, 2018-02-16 14:52:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.022378
127.0.0.1, 2018-02-16 14:53:38, GET, /admin/default/site, HTTP/1.1, 303, 0.272162
127.0.0.1, 2018-02-16 14:53:38, GET, /admin/default/index, HTTP/1.1, 200, 0.193470
127.0.0.1, 2018-02-16 14:53:41, POST, /admin/default/index, HTTP/1.1, 303, 0.012663
127.0.0.1, 2018-02-16 14:53:41, GET, /admin/default/site, HTTP/1.1, 200, 0.070245
127.0.0.1, 2018-02-16 14:53:43, POST, /admin/default/check_version, HTTP/1.1, 200, 1.276087
127.0.0.1, 2018-02-16 14:53:59, GET, /IMEI/default/index, HTTP/1.1, 200, 0.307250
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000890
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000421
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/css/calendar.css, HTTP/1.1, 200, 0.001099
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007962
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/js/jquery.js, HTTP/1.1, 200, 0.007016
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/js/calendar.js, HTTP/1.1, 200, 0.000543
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/js/web2py.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000530
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/js/share.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/images/favicon.png, HTTP/1.1, 200, 0.000826
127.0.0.1, 2018-02-16 14:54:00, GET, /IMEI/static/images/favicon.ico, HTTP/1.1, 200, 0.000805
127.0.0.1, 2018-02-16 14:54:04, GET, /admin/default/site, HTTP/1.1, 200, 0.023065
127.0.0.1, 2018-02-16 16:07:50, GET, /admin/default/index, HTTP/1.1, 200, 0.352989
127.0.0.1, 2018-02-16 16:07:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.329542
127.0.0.1, 2018-02-16 16:08:03, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.062158
127.0.0.1, 2018-02-16 16:08:20, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.180581
127.0.0.1, 2018-02-16 16:08:20, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.023331
127.0.0.1, 2018-02-16 16:09:02, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.228295
127.0.0.1, 2018-02-16 16:09:02, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.020924
127.0.0.1, 2018-02-16 16:09:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.017554
127.0.0.1, 2018-02-16 16:09:09, GET, /admin/default/site, HTTP/1.1, 303, 0.002733
127.0.0.1, 2018-02-16 16:09:09, GET, /admin/default/index, HTTP/1.1, 200, 0.010313
127.0.0.1, 2018-02-16 16:10:19, POST, /admin/default/index, HTTP/1.1, 303, 0.132761
127.0.0.1, 2018-02-16 16:10:19, GET, /admin/default/site, HTTP/1.1, 200, 0.088904
127.0.0.1, 2018-02-16 16:10:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.709067
127.0.0.1, 2018-02-16 16:10:36, GET, /admin/default/design/IMEI, HTTP/1.1, 200, 0.353339
127.0.0.1, 2018-02-16 16:11:10, GET, /IMEI/groundcontrol/uday, HTTP/1.1, 200, 0.172168
127.0.0.1, 2018-02-16 16:12:04, GET, /admin/default/peek/IMEI/controllers/default.py, HTTP/1.1, 200, 0.150161
127.0.0.1, 2018-02-16 16:12:06, GET, /admin/default/edit/IMEI/controllers/default.py, HTTP/1.1, 200, 0.147444
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.018114
